;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;9.38;40.0;12.5;18.75;10.94;18.75;10.94;28.12;48.44;18.75;38.28;12.5;0.5104;0.16566995713114738;53.12;40.0;62.5;46.88;40.62;48.44;39.06;54.69;67.19;50.0;64.84;40.62;0.3445;0.22137600272655486
1;15.62;50.0;18.75;28.12;14.06;25.0;15.62;33.59;50.78;31.25;41.41;18.75;0.6103;0.13880891172885895;51.56;50.0;68.75;46.88;42.19;50.0;42.19;56.25;66.41;56.25;61.72;46.88;0.49322;0.1800985574966669
2;21.88;60.0;25.0;28.12;17.19;29.69;19.53;36.72;52.34;37.5;42.97;25.0;0.6579;0.12124948728382587;51.56;60.0;75.0;46.88;42.19;50.0;44.53;57.81;65.62;56.25;60.16;50.0;0.56464;0.15681803683161735
3;26.56;60.0;31.25;31.25;18.75;31.25;22.66;39.84;51.56;37.5;44.53;28.12;0.6867;0.11267882197201252;53.12;60.0;75.0;46.88;42.19;50.0;47.66;59.38;64.06;56.25;59.38;50.0;0.61606;0.14095501535356045
4;31.25;60.0;37.5;34.38;20.31;34.38;25.78;42.19;51.56;37.5;46.09;28.12;0.7327;0.09727636369466781;54.69;60.0;75.0;43.75;42.19;50.0;50.0;60.94;63.28;56.25;59.38;50.0;0.6469;0.1308781590104103
5;32.81;70.0;43.75;34.38;21.88;35.94;27.34;43.75;50.78;43.75;46.88;31.25;0.7449;0.09359606133848429;56.25;70.0;75.0;43.75;42.19;48.44;51.56;61.72;62.5;56.25;59.38;50.0;0.67124;0.1228072373008728
6;35.94;70.0;43.75;34.38;23.44;37.5;29.69;45.31;50.78;43.75;47.66;31.25;0.7676;0.08700700505375862;57.81;70.0;75.0;43.75;42.19;48.44;53.12;62.5;61.72;56.25;58.59;50.0;0.6926;0.11613692996412515
7;39.06;70.0;50.0;37.5;25.0;37.5;31.25;46.88;50.78;43.75;48.44;34.38;0.7664;0.08531575285345316;57.81;70.0;75.0;43.75;42.19;48.44;53.91;63.28;60.94;56.25;58.59;50.0;0.7051;0.11137804500997066
8;40.62;70.0;50.0;37.5;26.56;39.06;32.03;48.44;50.0;43.75;48.44;34.38;0.7807;0.08230618867427111;59.38;70.0;75.0;43.75;42.19;48.44;54.69;64.06;60.16;56.25;57.81;50.0;0.718;0.10659636835634709
9;42.19;70.0;50.0;37.5;26.56;39.06;33.59;49.22;50.0;43.75;48.44;34.38;0.7846;0.08254662531465291;59.38;70.0;75.0;43.75;42.19;46.88;55.47;64.06;59.38;50.0;57.81;50.0;0.72742;0.1034411674541235
10;42.19;70.0;50.0;37.5;28.12;39.06;34.38;50.78;50.0;43.75;48.44;34.38;0.7903;0.07790506119132042;59.38;70.0;75.0;43.75;42.19;45.31;56.25;64.84;58.59;50.0;57.03;50.0;0.73748;0.09937746669381857
11;43.75;70.0;56.25;37.5;29.69;39.06;35.16;50.78;50.0;43.75;48.44;37.5;0.8083;0.07424790288805962;59.38;70.0;75.0;43.75;42.19;45.31;57.03;64.84;58.59;50.0;57.03;50.0;0.74502;0.09697743247509003
12;43.75;70.0;56.25;37.5;29.69;39.06;36.72;52.34;49.22;43.75;49.22;37.5;0.8027;0.07341645646989346;59.38;70.0;75.0;43.75;42.19;45.31;57.03;65.62;57.81;50.0;56.25;50.0;0.75244;0.09403068579137325
13;45.31;70.0;56.25;37.5;31.25;39.06;37.5;52.34;49.22;43.75;49.22;37.5;0.8054;0.07304174688756467;59.38;70.0;75.0;43.75;42.19;43.75;57.81;65.62;57.03;50.0;56.25;50.0;0.75976;0.09177034983277321
14;45.31;70.0;56.25;37.5;31.25;39.06;38.28;53.12;49.22;43.75;49.22;37.5;0.8076;0.07297124761939049;59.38;70.0;75.0;43.75;42.19;43.75;58.59;66.41;57.03;50.0;56.25;50.0;0.76574;0.08916711842805147
15;45.31;70.0;56.25;37.5;31.25;40.62;39.06;53.91;49.22;43.75;49.22;40.62;0.8129;0.06871278423964977;59.38;70.0;75.0;43.75;42.19;43.75;58.59;66.41;56.25;50.0;56.25;50.0;0.77106;0.0874201582017541
16;46.88;70.0;56.25;40.62;32.81;40.62;39.84;54.69;48.44;43.75;49.22;40.62;0.8213;0.06707812365591526;59.38;70.0;75.0;43.75;42.19;43.75;58.59;66.41;56.25;50.0;55.47;50.0;0.77516;0.08569101853638887
17;46.88;70.0;56.25;40.62;32.81;40.62;40.62;55.47;48.44;43.75;49.22;40.62;0.8203;0.0671130969762802;60.94;70.0;75.0;43.75;42.19;43.75;59.38;67.19;55.47;50.0;55.47;50.0;0.78092;0.08343327654749155
18;46.88;70.0;56.25;40.62;32.81;40.62;41.41;55.47;48.44;43.75;49.22;40.62;0.8195;0.06741419853270054;60.94;70.0;75.0;43.75;42.19;42.19;59.38;67.19;55.47;50.0;55.47;50.0;0.78402;0.08250693528711796
19;46.88;70.0;56.25;40.62;32.81;40.62;42.19;56.25;48.44;43.75;49.22;40.62;0.8201;0.06748439063280821;60.94;70.0;75.0;43.75;40.62;42.19;59.38;67.19;54.69;43.75;54.69;50.0;0.7894;0.08036003641784191
