;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
0;2.34;40.0;9.38;6.25;3.12;4.69;3.91;1.95;1.95;9.38;1.56;1.17;1.17;1.17;6.25;0.4621;0.17614536315202714;32.81;60.0;65.62;29.69;21.09;29.69;29.69;17.97;21.88;56.25;19.14;10.16;5.47;11.33;37.5;0.32254;0.22445981859683992
1;4.69;50.0;15.62;9.38;4.69;8.59;7.81;3.91;3.91;15.62;2.73;1.95;1.56;1.56;10.94;0.6054;0.1378980692446232;31.25;60.0;75.0;25.0;21.09;25.78;21.88;16.02;20.7;50.0;15.23;5.47;2.34;8.98;39.06;0.51608;0.17107703151881695
2;7.03;60.0;18.75;10.94;6.25;11.72;10.16;5.08;6.25;15.62;3.52;1.95;1.56;1.56;12.5;0.6897;0.11496681689023971;30.47;60.0;75.0;23.44;21.88;24.22;20.31;16.8;21.48;43.75;13.67;3.52;1.95;6.64;42.19;0.60832;0.14278501104831695
3;8.59;60.0;21.88;14.06;7.03;13.28;11.72;6.25;7.81;18.75;3.91;2.34;1.95;1.95;15.62;0.7398;0.10107469232082367;29.69;60.0;75.0;25.0;22.66;23.44;19.53;17.19;22.27;37.5;12.5;3.12;1.95;4.69;45.31;0.65526;0.1274262650769949
4;10.16;60.0;25.0;15.62;9.38;14.84;12.5;7.03;8.98;18.75;4.69;2.34;1.95;1.95;17.19;0.7471;0.09666627976298332;29.69;60.0;71.88;25.0;23.44;22.66;19.53;17.97;22.27;34.38;11.72;3.12;1.95;3.91;46.88;0.69408;0.11477473929405213
5;12.5;60.0;28.12;17.19;10.16;15.62;14.06;7.81;10.16;18.75;5.08;2.73;2.34;1.95;18.75;0.7516;0.09332066452503204;30.47;60.0;68.75;26.56;24.22;22.66;19.53;18.75;21.88;31.25;11.72;3.12;1.95;3.12;48.44;0.72572;0.10395536374866962
6;14.06;60.0;28.12;18.75;10.94;16.41;14.84;8.59;10.55;18.75;5.86;2.73;2.34;1.95;20.31;0.7813;0.08462742556631565;30.47;70.0;68.75;26.56;24.22;23.44;19.53;19.14;21.48;28.12;11.72;3.12;2.34;2.34;50.0;0.7532;0.09538460896968841
7;15.62;60.0;28.12;18.75;11.72;17.19;15.62;9.38;11.33;18.75;6.25;2.73;2.34;1.56;21.88;0.7939;0.08195268348455428;31.25;70.0;65.62;28.12;25.0;22.66;19.53;19.92;21.09;28.12;11.72;3.12;2.34;1.95;50.0;0.76934;0.08847964136093855
8;16.41;60.0;31.25;20.31;12.5;17.97;16.41;10.16;11.72;21.88;6.64;3.12;2.34;1.56;23.44;0.7792;0.08820366198122502;31.25;70.0;62.5;28.12;25.78;23.44;19.53;20.31;20.31;28.12;11.72;3.12;2.34;1.56;51.56;0.78826;0.081796524258852
9;17.97;60.0;31.25;21.88;14.06;18.75;17.19;10.55;12.11;21.88;7.42;3.12;2.34;1.17;25.0;0.8162;0.07510345059782267;32.03;70.0;59.38;28.12;26.56;23.44;19.53;20.7;19.92;25.0;12.11;3.12;2.34;1.56;51.56;0.8025;0.07683693529129028
10;18.75;70.0;31.25;21.88;14.84;19.53;17.19;11.33;12.11;21.88;7.81;3.12;2.34;1.17;26.56;0.8023;0.07632126783877612;32.03;70.0;59.38;29.69;27.34;23.44;19.53;21.48;19.53;25.0;12.11;3.12;2.34;1.17;51.56;0.81596;0.0720925202703476
11;19.53;70.0;31.25;23.44;15.62;20.31;17.97;12.11;12.5;21.88;8.2;3.12;2.34;0.78;26.56;0.8132;0.07585209676623345;32.81;70.0;59.38;29.69;28.12;24.22;19.53;21.88;19.14;25.0;12.11;3.12;2.34;1.17;51.56;0.8249;0.06835552915513515
12;20.31;70.0;34.38;23.44;16.41;21.09;17.97;12.5;12.89;21.88;8.59;3.52;2.34;0.78;28.12;0.7987;0.08289010443538428;32.81;70.0;56.25;29.69;28.91;24.22;19.53;22.27;19.14;25.0;12.11;3.52;2.34;0.78;51.56;0.8311;0.06575641059458255
13;20.31;70.0;34.38;25.0;17.19;21.09;18.75;13.28;13.28;21.88;8.98;3.52;2.34;0.78;29.69;0.8192;0.06793801107555628;32.81;70.0;56.25;29.69;29.69;24.22;20.31;22.66;18.75;25.0;12.11;3.52;2.34;0.78;51.56;0.84198;0.06211629459291697
14;21.09;70.0;34.38;25.0;17.97;21.88;18.75;14.06;13.28;25.0;9.38;3.52;2.34;0.78;31.25;0.8286;0.06811328881084919;32.81;70.0;56.25;29.69;30.47;25.0;20.31;23.05;18.36;25.0;12.11;3.52;2.34;0.78;53.12;0.84754;0.059501436367928984
15;21.09;70.0;34.38;26.56;18.75;22.66;19.53;14.45;13.67;25.0;9.77;3.52;2.73;0.78;31.25;0.7881;0.08728320358395576;33.59;70.0;56.25;29.69;30.47;25.0;20.31;23.44;17.97;25.0;12.11;3.52;2.34;0.78;53.12;0.85332;0.05742796645998955
16;21.88;70.0;34.38;26.56;19.53;23.44;20.31;15.23;14.06;25.0;9.77;3.52;2.73;0.78;32.81;0.8385;0.06318632409870624;32.81;70.0;56.25;29.69;31.25;25.0;21.09;23.83;17.97;25.0;12.11;3.52;2.73;0.78;53.12;0.85996;0.054906378454267976
17;21.88;70.0;34.38;26.56;20.31;23.44;20.31;15.62;14.06;25.0;10.16;3.52;2.73;0.78;32.81;0.8412;0.061891227248311045;32.81;70.0;56.25;29.69;32.03;25.78;21.09;24.22;17.58;25.0;12.11;3.52;2.73;0.78;53.12;0.8637;0.0531815670260787
18;21.88;70.0;34.38;26.56;21.09;24.22;21.09;16.02;14.45;25.0;10.16;3.52;2.73;0.39;34.38;0.8258;0.0725101231560111;32.81;70.0;56.25;29.69;32.03;25.78;21.09;24.61;17.58;25.0;12.11;3.52;2.73;0.39;53.12;0.86918;0.05170397828549147
19;22.66;70.0;37.5;26.56;21.88;24.22;21.09;16.41;14.45;25.0;10.55;3.52;2.73;0.39;34.38;0.843;0.061184072168171406;32.81;70.0;53.12;29.69;32.81;25.78;21.09;24.61;17.19;25.0;12.11;3.52;2.73;0.39;53.12;0.87528;0.04919155096143484
